datetime,low,high,open,close,volumefrom,volumeto
2020-12-07,81.74,86.79,83.83,83.5,78486.87,6577185.34
2020-12-08,75.39,84.8,83.5,76.8,143649.69,11522644.37
2020-12-09,72.01,78.18,76.8,77.44,138113.94,10494556.47
2020-12-10,73.2,77.61,77.44,74.78,51154.17,3829109.0
2020-12-11,69.9,74.87,74.78,72.24,91390.35,6558120.87
2020-12-12,72.12,77.62,72.24,76.58,50370.27,3801715.36
2020-12-13,75.63,84.32,76.58,82.08,50722.9,4077065.71
2020-12-14,79.22,82.96,82.08,82.48,60439.13,4910376.99
2020-12-15,80.17,84.8,82.48,81.31,60163.04,4939164.97
2020-12-16,78.29,93.3,81.31,93.01,170994.88,14543767.25
2020-12-17,90.37,110.09,93.01,101.07,244765.93,24695013.61
2020-12-18,99.32,112.69,101.07,109.33,183924.2,19875974.6
2020-12-19,105.46,124.5,109.33,119.95,130384.86,15150072.24
2020-12-20,109.77,123.22,119.95,114.81,234944.55,27561009.82
2020-12-21,100.37,118.68,114.81,104.62,247495.1,26791369.27
2020-12-22,98.37,114.52,104.62,114.5,340513.78,36858915.27
2020-12-23,94.44,117.24,114.5,102.6,349789.28,37297267.54
2020-12-24,98.57,112.25,102.6,111.83,168399.24,17768180.14
2020-12-25,108.29,128.4,111.83,127.29,167324.52,19726482.89
2020-12-26,124.89,135.12,127.29,129.5,221941.0,29009878.51
2020-12-27,119.88,139.41,129.5,127.83,359413.34,46693474.68
2020-12-28,126.15,137.23,127.83,129.73,114428.89,15074240.62
2020-12-29,119.76,130.63,129.73,128.84,80546.11,10176217.24
2020-12-30,122.52,133.0,128.84,130.15,135848.41,17343914.93
2020-12-31,122.09,130.44,130.15,124.36,77977.96,9782885.36
